Year,State,State Code,Births
2017,Nevada,32,35756
2017,New Hampshire,33,12116
2017,New Jersey,34,101250
2017,New Mexico,35,23767
2017,New York,36,229737
2017,North Carolina,37,120125
2017,North Dakota,38,10737
2017,Ohio,39,136832
2017,Oklahoma,40,50214
2017,Oregon,41,43631
2017,Pennsylvania,42,137745
2017,Rhode Island,44,10638
2017,South Carolina,45,57029
2017,South Dakota,46,12134
2017,Tennessee,47,81016
2017,Texas,48,382050
2017,Utah,49,48585
2017,Vermont,50,5655
2017,Virginia,51,100391
2017,Washington,53,87562
2017,West Virginia,54,18675
2017,Wisconsin,55,64975
2017,Wyoming,56,6903
2018,Alabama,1,57761
2018,Alaska,2,10086
2018,Arizona,4,80723
2018,Arkansas,5,37018
2018,California,6,454920
2018,Colorado,8,62885
2018,Connecticut,9,34725
2018,Delaware,10,10621
2018,District of Columbia,11,9212
2018,Florida,12,221542
2018,Georgia,13,126172
2018,Hawaii,15,16972
2018,Idaho,16,21403
2018,Illinois,17,144815
2018,Indiana,18,81646
2018,Iowa,19,37785
2018,Kansas,20,36261
2018,Kentucky,21,53922
2018,Louisiana,22,59615
2018,Maine,23,12311
2018,Maryland,24,71080
2018,Massachusetts,25,69109
2018,Michigan,26,110032
2018,Minnesota,27,67344
2018,Mississippi,28,37000
2018,Missouri,29,73269
2018,Montana,30,11513
2018,Nebraska,31,25488
2018,Nevada,32,35682
2018,New Hampshire,33,11995
2018,New Jersey,34,101223
2018,New Mexico,35,23039
2018,New York,36,226238
2018,North Carolina,37,118954
2018,North Dakota,38,10636
2018,Ohio,39,135134
2018,Oklahoma,40,49800
2018,Oregon,41,42188
2018,Pennsylvania,42,135673
2018,Rhode Island,44,10506
2018,South Carolina,45,56669
2018,South Dakota,46,11893
2018,Tennessee,47,80751
2018,Texas,48,378624
2018,Utah,49,47209
2018,Vermont,50,5432
2018,Virginia,51,99843
2018,Washington,53,86085
2018,West Virginia,54,18248
2018,Wisconsin,55,64098
2018,Wyoming,56,6562
2019,Alabama,1,58615
2019,Alaska,2,9822
2019,Arizona,4,79375
2019,Arkansas,5,36564
2019,California,6,446479
2019,Colorado,8,62869
2019,Connecticut,9,34258
2019,Delaware,10,10562
2019,District of Columbia,11,9079
2019,Florida,12,220002
2019,Georgia,13,126371
2019,Hawaii,15,16797
2019,Idaho,16,22063
2019,Illinois,17,140128
2019,Indiana,18,80859
2019,Iowa,19,37649
2019,Kansas,20,35395
2019,Kentucky,21,53069
2019,Louisiana,22,58941
2019,Maine,23,11779
2019,Maryland,24,70178
2019,Massachusetts,25,69117
2019,Michigan,26,107886
2019,Minnesota,27,66027
2019,Mississippi,28,36636
2019,Missouri,29,72127
2019,Montana,30,11079
2019,Nebraska,31,24755
2019,Nevada,32,35072
2019,New Hampshire,33,11839
2019,New Jersey,34,99585
2019,New Mexico,35,22960
2019,New York,36,221539
2019,North Carolina,37,118725
2019,North Dakota,38,10454
2019,Ohio,39,134461
2019,Oklahoma,40,49143
2019,Oregon,41,41858
2019,Pennsylvania,42,134230
2019,Rhode Island,44,10175
2019,South Carolina,45,57038
2019,South Dakota,46,11449
2019,Tennessee,47,80450
2019,Texas,48,377599
2019,Utah,49,46826
2019,Vermont,50,5361
2019,Virginia,51,97429
2019,Washington,53,84895
2019,West Virginia,54,18136
2019,Wisconsin,55,63270
2019,Wyoming,56,6565
